Benchmark,Base,Changed
2to3,0.55404,0.44674
async_generators,0.48065,0.41030
async_tree_cpu_io_mixed,1.32,1.00
async_tree_io,2.17,1.57
async_tree_memoization,1.09,0.85342
async_tree_none,0.90481,0.67799
bench_mp_pool,0.12097,0.12070
bench_thread_pool,0.00164,0.00159
chameleon,0.01371,0.01020
chaos,0.16604,0.10059
coroutines,0.04653,0.03153
coverage,0.03875,0.10377
crypto_pyaes,0.14207,0.09877
deepcopy,0.00055851,0.00048066
deepcopy_memo,0.00006332,0.00004945
deepcopy_reduce,0.00000496,0.00000401
deltablue,0.00983,0.00582
django_template,0.07392,0.04929
docutils,3.48,2.91
dulwich_log,0.12948,0.10632
fannkuch,0.59534,0.46676
float,0.15975,0.10163
generators,0.06595,0.07790
genshi_text,0.03931,0.03069
genshi_xml,0.08635,0.07500
go,0.34366,0.18526
hexiom,0.01219,0.00899
html5lib,0.10808,0.07187
json_dumps,0.01481,0.01347
json_loads,0.00003363,0.00003238
logging_format,0.00001852,0.00001575
logging_silent,0.00000024348,0.00000014231
logging_simple,0.00001671,0.00001446
mako,0.02072,0.01468
mdp,3.03,2.89
meteor_contest,0.11444,0.11294
nbody,0.18863,0.12646
nqueens,0.12572,0.10656
pathlib,0.16311,0.16593
pickle,0.00001314,0.00001322
pickle_dict,0.00002893,0.00003000
pickle_list,0.00000483,0.00000510
pickle_pure_python,0.00063719,0.00041259
pidigits,0.18883,0.18210
pprint_pformat,2.01,1.94
pyflate,0.90754,0.55765
python_startup,0.03286,0.02771
python_startup_no_site,0.02440,0.02303
raytrace,0.72667,0.42215
regex_compile,0.21713,0.16857
regex_dna,0.16032,0.15075
regex_effbot,0.00287,0.00284
regex_v8,0.02537,0.02385
richards,0.10043,0.06755
scimark_fft,0.45699,0.38173
scimark_lu,0.18219,0.12969
scimark_monte_carlo,0.13692,0.08564
scimark_sor,0.25907,0.16315
scimark_sparse_mat_mult,0.00540,0.00461
spectral_norm,0.19510,0.14434
sqlalchemy_declarative,0.17736,0.14801
sqlalchemy_imperative,0.02901,0.02304
sqlglot_normalize,0.16848,0.13976
sqlglot_optimize,0.07887,0.06565
sqlglot_parse,0.00291,0.00191
sqlglot_transpile,0.00333,0.00222
sqlite_synth,0.00000426,0.00000342
sympy_expand,0.65751,0.57046
sympy_integrate,0.02830,0.02458
sympy_str,0.37615,0.34779
sympy_sum,0.21397,0.20197
telco,0.00723,0.00735
tornado_http,0.22623,0.18685
unpack_sequence,0.00000006779,0.00000005885
unpickle,0.00001597,0.00001689
unpickle_list,0.00000457,0.00000471
unpickle_pure_python,0.00042383,0.00030650
xml_etree_generate,0.10977,0.10880
xml_etree_iterparse,0.12421,0.12152
xml_etree_parse,0.18336,0.16821
xml_etree_process,0.08748,0.07597
